last_name,first_name,year,player_age,b_ab,b_total_pa,b_total_hits,b_single,b_double,b_triple,b_home_run,b_strikeout,b_walk,b_k_percent,b_bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,r_total_caught_stealing,b_hit_by_pitch,b_intent_walk,b_sac_bunt,b_sac_fly,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,whiff_percent,swing_percent
Anderson,Brian,2020,27,200,229,51,32,7,1,11,66,22,28.8,9.6,0.255,0.465,0.345,0.81,0,6,1,0,1,0.228,0.425,0.342,0.312,0.322,0.197,87.4,9.6,34.8,9.6,34.4,49.1
Yastrzemski,Mike,2020,30,192,225,57,29,14,4,10,55,30,24.4,13.3,0.297,0.568,0.4,0.968,1,3,2,0,0,0.255,0.496,0.4,0.355,0.364,0.241,88.2,18.4,35,10.9,24.9,38.9
Marte,Ketel,2020,27,181,195,52,35,14,1,2,21,7,10.8,3.6,0.287,0.409,0.323,0.732,0,4,0,0,3,0.265,0.379,0.311,0.295,0.309,0.114,89.2,10,28.8,3.7,14.1,45
Gurriel Jr.,Lourdes,2020,27,208,224,64,39,14,0,11,48,14,21.4,6.3,0.308,0.534,0.348,0.882,1,0,0,0,2,0.281,0.486,0.366,0.331,0.324,0.206,90.8,10.5,39.5,11.7,26.3,51.2
Baez,Javier,2020,28,222,235,45,27,9,1,8,75,7,31.9,3,0.203,0.36,0.238,0.599,0,4,0,0,2,0.215,0.378,0.252,0.265,0.254,0.163,89.4,10.3,24.8,8.1,38,52.9
LeMahieu,DJ,2020,32,195,216,71,49,10,2,10,21,18,9.7,8.3,0.364,0.59,0.421,1.011,0,2,0,0,1,0.315,0.462,0.422,0.355,0.378,0.148,91.3,2.3,29.7,2.9,11.2,44.1
Alonso,Pete,2020,26,208,239,48,26,6,0,16,61,24,25.5,10,0.231,0.49,0.326,0.817,0,6,4,0,1,0.227,0.466,0.336,0.322,0.324,0.239,90.2,15.5,30.4,12.8,30.4,46.1
Crawford,J.P.,2020,25,204,232,52,41,7,2,2,39,23,16.8,9.9,0.255,0.338,0.336,0.674,3,3,0,0,2,0.256,0.36,0.298,0.307,0.342,0.103,85.8,11.5,34.1,1.8,18.3,41
Story,Trevor,2020,28,235,259,68,40,13,4,11,63,24,24.3,9.3,0.289,0.519,0.355,0.874,3,0,1,0,0,0.253,0.455,0.364,0.318,0.322,0.202,89.9,20.8,40.1,8.7,25.7,45.8
Gonzalez,Marwin,2020,31,175,199,37,28,4,0,5,41,17,20.6,8.5,0.211,0.32,0.286,0.606,0,3,0,0,4,0.242,0.404,0.265,0.304,0.317,0.163,89.2,12.6,31.9,5.1,23.6,42.8
Reyes,Franmil,2020,25,211,241,58,39,10,0,9,69,24,28.6,10,0.275,0.45,0.344,0.795,0,1,0,0,5,0.251,0.447,0.335,0.332,0.332,0.196,92.4,11.2,31.3,12.9,38.5,46
Villar,Jonathan,2020,29,185,207,43,36,5,0,2,54,19,26.1,9.2,0.232,0.292,0.3,0.591,5,0,1,1,2,0.216,0.287,0.262,0.256,0.288,0.071,86.7,1.6,18.7,1.5,32.2,51.3
Harper,Bryce,2020,28,190,244,51,27,9,2,13,43,49,17.6,20.1,0.268,0.542,0.418,0.96,2,2,8,1,2,0.307,0.657,0.393,0.435,0.451,0.35,92.5,16,33.3,17.3,28.8,45.7
Lopez,Nicky,2020,25,169,192,34,25,8,0,1,41,18,21.4,9.4,0.201,0.266,0.281,0.548,5,2,0,3,0,0.236,0.305,0.25,0.278,0.317,0.069,84.9,1.4,30.5,1.5,21.1,44.2
Semien,Marcus,2020,30,211,236,47,30,9,1,7,50,25,21.2,10.6,0.223,0.374,0.305,0.679,0,0,0,0,0,0.204,0.348,0.294,0.274,0.289,0.143,86.2,19.3,32.9,5,23.3,44
Polanco,Jorge,2020,27,209,226,54,42,8,0,4,35,13,15.5,5.8,0.258,0.354,0.301,0.655,2,1,0,2,1,0.264,0.384,0.284,0.293,0.309,0.12,86.6,16.1,39,2.8,16.8,43.5
Hiura,Keston,2020,24,217,246,46,29,4,0,13,85,16,34.6,6.5,0.212,0.41,0.297,0.707,2,11,2,0,2,0.21,0.434,0.299,0.304,0.3,0.224,87.4,14.3,34.3,14.2,42.7,50.1
Robert,Luis,2020,23,202,227,47,28,8,0,11,73,20,32.2,8.8,0.233,0.436,0.3,0.735,2,1,0,0,2,0.226,0.466,0.311,0.315,0.3,0.24,87.9,16.7,36.6,13,41.6,57.5
Acuna Jr.,Ronald,2020,23,160,202,40,15,11,0,14,60,38,29.7,18.8,0.25,0.581,0.406,0.987,1,4,2,0,0,0.254,0.59,0.407,0.401,0.409,0.336,92.4,18.6,34,16,29.9,40.5
Davis,J.D.,2020,27,190,229,47,32,9,0,6,56,31,24.5,13.5,0.247,0.389,0.371,0.761,0,7,1,0,1,0.258,0.43,0.334,0.348,0.381,0.171,90.1,3.3,29.6,8.9,29.3,44.9
McNeil,Jeff,2020,28,183,209,57,39,14,0,4,24,20,11.5,9.6,0.311,0.454,0.383,0.836,2,3,2,0,3,0.278,0.41,0.354,0.325,0.357,0.131,86.6,11.5,37,2.5,17.5,56.8
Peralta,David,2020,33,203,218,61,45,10,1,5,45,13,20.6,6,0.3,0.433,0.339,0.773,0,0,0,0,2,0.263,0.375,0.328,0.292,0.306,0.113,89.2,6.4,29.4,5,21.1,46.6
Frazier,Adam,2020,29,209,230,48,34,7,0,7,35,17,15.2,7.4,0.23,0.364,0.296,0.659,3,3,0,1,0,0.253,0.38,0.286,0.299,0.318,0.127,85.5,12.3,34.9,4,16.5,45.8
Schwarber,Kyle,2020,27,191,224,36,19,6,0,11,66,30,29.5,13.4,0.188,0.393,0.308,0.701,0,3,1,0,0,0.225,0.444,0.302,0.33,0.34,0.219,92.8,8.8,28.8,11.2,28.2,42.7
Escobar,Eduardo,2020,31,203,222,43,29,7,3,4,41,15,18.5,6.8,0.212,0.335,0.27,0.605,0,2,4,0,2,0.263,0.395,0.253,0.294,0.318,0.132,88.6,18.1,34.8,5.5,21.6,51.3
Nimmo,Brandon,2020,27,186,225,52,33,8,3,8,43,33,19.1,14.7,0.28,0.484,0.404,0.888,2,6,0,0,0,0.251,0.424,0.381,0.349,0.382,0.173,87.2,7.6,30.8,7.7,21.8,41.3
Myers,Wil,2020,30,198,218,57,26,14,2,15,56,18,25.7,8.3,0.288,0.606,0.353,0.959,1,2,0,0,0,0.285,0.588,0.393,0.377,0.351,0.303,91,13.4,40.8,14.8,26.4,41.8
Taylor,Chris,2020,30,185,214,50,30,10,2,8,55,26,25.7,12.1,0.27,0.476,0.364,0.84,2,2,0,1,0,0.268,0.481,0.358,0.354,0.365,0.213,88,9.1,35.1,11.5,32.7,44.5
Lindor,Francisco,2020,27,236,266,61,40,13,0,8,41,24,15.4,9,0.258,0.415,0.335,0.75,2,4,2,0,2,0.278,0.441,0.319,0.333,0.355,0.162,89.9,13.5,36.5,5.6,20.4,48.6
Fletcher,David,2020,26,207,230,66,50,13,0,3,25,20,10.9,8.7,0.319,0.425,0.374,0.799,1,0,0,1,2,0.292,0.35,0.345,0.311,0.351,0.058,84.7,4.1,30.8,0.5,8.6,37.1
Brantley,Michael,2020,33,170,187,51,31,15,0,5,28,17,15,9.1,0.3,0.476,0.364,0.84,0,0,0,0,0,0.262,0.415,0.356,0.314,0.329,0.153,88.7,10.2,34.5,4.9,16.4,39.8
Muncy,Max,2020,30,203,248,39,23,4,0,12,60,39,24.2,15.7,0.192,0.389,0.331,0.72,0,4,2,0,2,0.235,0.481,0.311,0.352,0.367,0.246,88.5,14.2,29,12.4,26.8,36.6
Realmuto,J.T.,2020,29,173,195,46,29,6,0,11,48,16,24.6,8.2,0.266,0.491,0.349,0.84,1,6,0,0,0,0.248,0.499,0.355,0.344,0.333,0.251,90.2,11.6,32.8,13.6,29.8,45.3
Duvall,Adam,2020,32,190,209,45,21,8,0,16,54,15,25.8,7.2,0.237,0.532,0.301,0.833,0,3,0,0,1,0.227,0.515,0.342,0.324,0.293,0.287,88.1,22.9,30.7,13.9,27.1,49
La Stella,Tommy,2020,31,196,228,55,34,14,2,5,12,27,5.3,11.8,0.281,0.449,0.368,0.817,0,2,0,1,2,0.278,0.424,0.35,0.337,0.368,0.146,88,17.1,32.1,4.8,11.2,38.1
Nunez,Renato,2020,26,195,216,50,28,10,0,12,64,17,29.6,7.9,0.256,0.492,0.324,0.816,0,3,0,0,1,0.228,0.433,0.341,0.301,0.298,0.205,86.3,21.1,37.9,12.1,30.1,52.1
Santana,Carlos,2020,34,206,255,41,26,7,0,8,43,47,16.9,18.4,0.199,0.35,0.349,0.699,0,1,1,0,1,0.253,0.45,0.311,0.36,0.395,0.197,88,12.2,32.3,6.7,20.7,36.2
Hernandez,Cesar,2020,30,233,261,66,43,20,0,3,57,24,21.8,9.2,0.283,0.408,0.352,0.76,0,2,0,1,0,0.27,0.391,0.33,0.317,0.344,0.121,89.1,5.6,37.3,4,20.1,42.5
Hicks,Aaron,2020,31,169,211,38,20,10,2,6,38,41,18,19.4,0.225,0.414,0.379,0.793,1,1,1,0,0,0.257,0.438,0.346,0.364,0.406,0.181,88.2,11.1,29.8,6.9,27.9,39.4
Aguilar,Jesus,2020,30,188,216,52,34,10,0,8,40,23,18.5,10.6,0.277,0.457,0.352,0.809,1,1,0,0,4,0.273,0.456,0.342,0.333,0.35,0.183,89.3,16,37.5,7.2,22.3,47.3
Dickerson,Corey,2020,31,194,210,50,37,5,1,7,35,15,16.7,7.1,0.258,0.402,0.31,0.712,1,0,1,0,0,0.254,0.402,0.303,0.3,0.308,0.148,85.7,11.1,25.8,5.7,25.7,53.4
Moran,Colin,2020,28,178,200,44,24,10,0,10,52,19,26,9.5,0.247,0.472,0.325,0.797,0,2,0,0,1,0.255,0.48,0.335,0.336,0.334,0.224,91.9,8.3,32.3,13.4,28.1,49.7
Freeman,Freddie,2020,31,214,262,73,36,23,1,13,37,45,14.1,17.2,0.341,0.64,0.462,1.102,0,3,7,0,0,0.341,0.66,0.449,0.441,0.462,0.32,92.4,17.2,49.2,14.7,20.1,48.2
Pollock,AJ,2020,33,196,210,54,29,9,0,16,45,12,21.4,5.7,0.276,0.566,0.314,0.881,2,0,1,0,2,0.274,0.502,0.358,0.333,0.317,0.228,89.6,13,37.9,10.5,24.5,47.6
Merrifield,Whit,2020,31,248,265,70,49,12,0,9,33,12,12.5,4.5,0.282,0.44,0.325,0.764,3,4,0,0,1,0.292,0.44,0.324,0.324,0.334,0.148,86.1,15.8,39.8,5.1,16.2,49.1
Gurriel,Yuli,2020,36,211,230,49,30,12,1,6,27,12,11.7,5.2,0.232,0.384,0.274,0.658,1,2,0,0,5,0.268,0.413,0.276,0.308,0.317,0.145,89.3,13.9,34.4,3.7,15.6,48.8
Ahmed,Nick,2020,30,199,217,53,37,10,1,5,46,18,21.2,8.3,0.266,0.402,0.327,0.729,0,0,0,0,0,0.247,0.38,0.313,0.295,0.31,0.133,87.7,9.4,30.1,5.2,27.6,48
Moncada,Yoan,2020,25,200,231,45,28,8,3,6,72,28,31.2,12.1,0.225,0.385,0.32,0.705,0,1,0,0,2,0.208,0.338,0.305,0.28,0.307,0.13,87.8,13.9,33.8,6.2,30.8,42.7
Bell,Josh,2020,28,195,223,44,33,3,0,8,59,22,26.5,9.9,0.226,0.364,0.305,0.669,0,2,4,0,4,0.229,0.382,0.282,0.289,0.309,0.153,91.7,5.9,24.3,8.6,33.6,45.9
Arcia,Orlando,2020,26,173,189,45,29,10,1,5,32,14,16.9,7.4,0.26,0.416,0.317,0.734,0,1,0,0,1,0.281,0.428,0.312,0.325,0.339,0.147,89,9.6,37.3,5.6,23.2,46.5
Hernandez,Teoscar,2020,28,190,207,55,32,7,0,16,63,14,30.4,6.8,0.289,0.579,0.338,0.917,1,1,0,0,1,0.295,0.613,0.378,0.381,0.345,0.318,93.3,15.3,40.6,18,34.9,46.4
Verdugo,Alex,2020,24,201,221,62,40,16,0,6,45,17,20.4,7.7,0.308,0.478,0.367,0.844,0,2,1,0,1,0.239,0.373,0.356,0.291,0.306,0.134,87,5.9,31.2,6.4,18.8,42.7
McMahon,Ryan,2020,26,172,193,37,21,6,1,9,66,18,34.2,9.3,0.215,0.419,0.295,0.714,1,2,0,0,1,0.206,0.393,0.303,0.287,0.288,0.188,90.1,9.2,27.1,11.2,31.6,47
Lewis,Kyle,2020,25,206,242,54,40,3,0,11,71,34,29.3,14,0.262,0.437,0.364,0.801,1,0,0,0,2,0.24,0.437,0.344,0.332,0.348,0.197,88.3,11.1,37.2,11.7,36.3,43.2
Vazquez,Christian,2020,30,173,189,49,33,9,0,7,43,16,22.8,8.5,0.283,0.457,0.344,0.801,3,0,0,0,0,0.224,0.36,0.34,0.277,0.29,0.136,88.4,14.4,33.1,4.6,22.9,47.6
Yelich,Christian,2020,29,200,247,41,21,7,1,12,76,46,30.8,18.6,0.205,0.43,0.356,0.786,2,1,2,0,0,0.25,0.476,0.337,0.365,0.394,0.226,94,7.1,32.3,12.1,33.6,34.6
Gallo,Joey,2020,27,193,226,35,17,8,0,10,79,29,35,12.8,0.181,0.378,0.301,0.679,0,4,2,0,0,0.19,0.413,0.292,0.3,0.309,0.223,91.2,26.8,28.9,14,37.5,43.5
Wong,Kolten,2020,30,181,208,48,41,4,2,1,30,20,14.4,9.6,0.265,0.326,0.346,0.672,2,4,1,2,1,0.241,0.311,0.3,0.286,0.329,0.07,86.5,10.8,31.2,0.6,16.2,42.9
Kiner-Falefa,Isiah,2020,25,211,228,59,49,4,3,3,32,14,14,6.1,0.28,0.37,0.329,0.699,5,2,0,0,1,0.26,0.34,0.303,0.287,0.312,0.08,87.2,0.8,22.2,2.2,15.8,47.4
Segura,Jean,2020,30,192,217,51,37,5,2,7,45,23,20.7,10.6,0.266,0.422,0.346,0.767,2,1,2,1,0,0.25,0.39,0.328,0.307,0.333,0.14,87.7,11.2,31.8,6.1,22.4,46.2
Devers,Rafael,2020,24,232,248,61,33,16,1,11,67,13,27,5.2,0.263,0.483,0.31,0.793,0,3,0,0,0,0.259,0.465,0.331,0.318,0.307,0.207,93,10.6,33.3,12.1,31.8,54.6
Adames,Willy,2020,25,185,205,48,24,15,1,8,74,20,36.1,9.8,0.259,0.481,0.332,0.813,1,0,0,0,0,0.229,0.395,0.341,0.295,0.305,0.165,88.8,12.5,36.9,9.9,38.7,46.2
Dozier,Hunter,2020,29,158,186,36,24,4,2,6,48,27,25.8,14.5,0.228,0.392,0.344,0.736,0,1,0,0,0,0.235,0.383,0.321,0.319,0.351,0.148,86.4,17,26.4,8.2,30.9,41.9
Cabrera,Asdrubal,2020,35,190,213,46,26,9,3,8,40,19,18.8,8.9,0.242,0.447,0.305,0.753,0,0,0,0,4,0.245,0.431,0.314,0.306,0.309,0.186,89.5,13.7,30.5,6.5,20.6,45.8
Smith,Dominic,2020,25,177,199,56,24,21,1,10,45,14,22.6,7,0.316,0.616,0.377,0.993,0,5,0,0,3,0.304,0.568,0.405,0.374,0.366,0.264,89.8,10.8,43,13.3,26,51.9
Sano,Miguel,2020,27,186,205,38,13,12,0,13,90,18,43.9,8.8,0.204,0.478,0.278,0.757,0,1,1,0,0,0.215,0.482,0.312,0.31,0.288,0.267,95.2,20.2,31.3,22.9,42.6,47.3
Grisham,Trent,2020,24,215,252,54,33,8,3,10,64,31,25.4,12.3,0.251,0.456,0.349,0.805,1,3,0,1,1,0.263,0.481,0.344,0.355,0.364,0.218,88.3,13.5,37.9,11.1,24.4,37.9
Rosario,Eddie,2020,29,210,231,54,34,7,0,13,34,19,14.7,8.2,0.257,0.476,0.316,0.792,1,0,2,0,2,0.244,0.437,0.328,0.306,0.305,0.193,87.5,18.1,30.3,6.2,22.7,51.7
Grandal,Yasmani,2020,32,161,194,37,22,7,0,8,58,30,29.9,15.5,0.23,0.422,0.351,0.773,0,1,0,0,2,0.21,0.407,0.333,0.313,0.336,0.197,90.3,15.6,38.1,7.6,30.7,34.1
